Circuit: * Z:\home\shinu\Desktop\thermal_sampler\sims\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000453001 to 0.000453004
Heightened Def Con from 0.000453004 to 0.000453004
Heightened Def Con from 0.000453004 to 0.000453005
Heightened Def Con from 0.000453005 to 0.000453005
Heightened Def Con from 0.000453005 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453006
Heightened Def Con from 0.000453006 to 0.000453007
Heightened Def Con from 0.000453007 to 0.000453007
Heightened Def Con from 0.000453007 to 0.000453008
Heightened Def Con from 0.000453008 to 0.000453008
Heightened Def Con from 0.000453008 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453009
Heightened Def Con from 0.000453009 to 0.000453011
Heightened Def Con from 0.000453011 to 0.000453011
Heightened Def Con from 0.000453011 to 0.000453011
Heightened Def Con from 0.000453011 to 0.000453011
Heightened Def Con from 0.000453011 to 0.000453011
Heightened Def Con from 0.000453011 to 0.000453011
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453012
Heightened Def Con from 0.000453012 to 0.000453014
Heightened Def Con from 0.000453014 to 0.000453014
Heightened Def Con from 0.000453014 to 0.000453015
Heightened Def Con from 0.000453015 to 0.000453015
Heightened Def Con from 0.000453015 to 0.000453015
